movieId,title,genres,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709.0,862.0
2,Jumanji (1995),Adventure|Children|Fantasy,113497.0,8844.0
3,Grumpier Old Men (1995),Comedy|Romance,113228.0,15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885.0,31357.0
5,Father of the Bride Part II (1995),Comedy,113041.0,11862.0
6,Heat (1995),Action|Crime|Thriller,113277.0,949.0
7,Sabrina (1995),Comedy|Romance,114319.0,11860.0
8,Tom and Huck (1995),Adventure|Children,112302.0,45325.0
9,Sudden Death (1995),Action,114576.0,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,113189.0,710.0
11,"American President, The (1995)",Comedy|Drama|Romance,112346.0,9087.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896.0,12110.0
13,Balto (1995),Adventure|Animation|Children,112453.0,21032.0
14,Nixon (1995),Drama,113987.0,10858.0
15,Cutthroat Island (1995),Action|Adventure|Romance,112760.0,1408.0
16,Casino (1995),Crime|Drama,112641.0,524.0
17,Sense and Sensibility (1995),Drama|Romance,114388.0,4584.0
18,Four Rooms (1995),Comedy,113101.0,5.0
19,Ace Ventura: When Nature Calls (1995),Comedy,112281.0,9273.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845.0,11517.0
21,Get Shorty (1995),Comedy|Crime|Thriller,113161.0,8012.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722.0,1710.0
23,Assassins (1995),Action|Crime|Thriller,112401.0,9691.0
24,Powder (1995),Drama|Sci-Fi,114168.0,12665.0
25,Leaving Las Vegas (1995),Drama|Romance,113627.0,451.0
26,Othello (1995),Drama,114057.0,16420.0
27,Now and Then (1995),Children|Drama,114011.0,9263.0
28,Persuasion (1995),Drama|Romance,114117.0,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682.0,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012.0,37557.0
31,Dangerous Minds (1995),Drama,112792.0,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746.0,63.0
34,Babe (1995),Children|Drama,112431.0,9598.0
36,Dead Man Walking (1995),Crime|Drama,112818.0,687.0
38,It Takes Two (1995),Children|Comedy,113442.0,33689.0
39,Clueless (1995),Comedy|Romance,112697.0,9603.0
40,"Cry, the Beloved Country (1995)",Drama,112749.0,34615.0
41,Richard III (1995),Drama|War,114279.0,31174.0
42,Dead Presidents (1995),Action|Crime|Drama,112819.0,11443.0
43,Restoration (1995),Drama,114272.0,35196.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855.0,9312.0
45,To Die For (1995),Comedy|Drama|Thriller,114681.0,577.0
46,How to Make an American Quilt (1995),Drama|Romance,113347.0,11861.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369.0,807.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148.0,10530.0
